provinsi,kode_kota_kabupaten,nama_kota_kabupaten,jenis_kelamin,jumlah,satuan
JAWA BARAT,3204,KAB. BANDUNG,LAKI-LAKI,0,JIWA
JAWA BARAT,3204,KAB. BANDUNG,PEREMPUAN,0,JIWA
JAWA BARAT,3217,KAB. BANDUNG BARAT,LAKI-LAKI,6661,JIWA
JAWA BARAT,3217,KAB. BANDUNG BARAT,PEREMPUAN,7066,JIWA
JAWA BARAT,3216,KAB. BEKASI,LAKI-LAKI,19763,JIWA
JAWA BARAT,3216,KAB. BEKASI,PEREMPUAN,28052,JIWA
JAWA BARAT,3201,KAB. BOGOR,LAKI-LAKI,4370,JIWA
JAWA BARAT,3201,KAB. BOGOR,PEREMPUAN,7329,JIWA
JAWA BARAT,3207,KAB. CIAMIS,LAKI-LAKI,6769,JIWA
JAWA BARAT,3207,KAB. CIAMIS,PEREMPUAN,8279,JIWA
JAWA BARAT,3203,KAB. CIANJUR,LAKI-LAKI,1034,JIWA
JAWA BARAT,3203,KAB. CIANJUR,PEREMPUAN,1599,JIWA
JAWA BARAT,3209,KAB. CIREBON,LAKI-LAKI,0,JIWA
JAWA BARAT,3209,KAB. CIREBON,PEREMPUAN,0,JIWA
JAWA BARAT,3205,KAB. GARUT,LAKI-LAKI,3772,JIWA
JAWA BARAT,3205,KAB. GARUT,PEREMPUAN,9708,JIWA
JAWA BARAT,3212,KAB. INDRAMAYU,LAKI-LAKI,889,JIWA
JAWA BARAT,3212,KAB. INDRAMAYU,PEREMPUAN,2473,JIWA
JAWA BARAT,3215,KAB. KARAWANG,LAKI-LAKI,2519,JIWA
JAWA BARAT,3215,KAB. KARAWANG,PEREMPUAN,7920,JIWA
JAWA BARAT,3208,KAB. KUNINGAN,LAKI-LAKI,9686,JIWA
JAWA BARAT,3208,KAB. KUNINGAN,PEREMPUAN,30905,JIWA
JAWA BARAT,3210,KAB. MAJALENGKA,LAKI-LAKI,297,JIWA
JAWA BARAT,3210,KAB. MAJALENGKA,PEREMPUAN,408,JIWA
JAWA BARAT,3218,KAB. PANGANDARAN,LAKI-LAKI,0,JIWA
JAWA BARAT,3218,KAB. PANGANDARAN,PEREMPUAN,0,JIWA
JAWA BARAT,3214,KAB. PURWAKARTA,LAKI-LAKI,974,JIWA
JAWA BARAT,3214,KAB. PURWAKARTA,PEREMPUAN,2874,JIWA
JAWA BARAT,3213,KAB. SUBANG,LAKI-LAKI,4307,JIWA
JAWA BARAT,3213,KAB. SUBANG,PEREMPUAN,10598,JIWA
JAWA BARAT,3202,KAB. SUKABUMI,LAKI-LAKI,508,JIWA
JAWA BARAT,3202,KAB. SUKABUMI,PEREMPUAN,574,JIWA
JAWA BARAT,3211,KAB. SUMEDANG,LAKI-LAKI,594,JIWA
JAWA BARAT,3211,KAB. SUMEDANG,PEREMPUAN,731,JIWA
JAWA BARAT,3206,KAB. TASIKMALAYA,LAKI-LAKI,1044,JIWA
JAWA BARAT,3206,KAB. TASIKMALAYA,PEREMPUAN,1679,JIWA
JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,6453,JIWA
JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,18835,JIWA
JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,2501,JIWA
JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,2770,JIWA
JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,5596,JIWA
JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,11791,JIWA
JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,5549,JIWA
JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,9842,JIWA
JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,46,JIWA
JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,407,JIWA
JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,2843,JIWA
JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,7233,JIWA
JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,5800,JIWA
JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,13893,JIWA
JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,582,JIWA
JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,2655,JIWA
JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,4971,JIWA
JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,6300,JIWA
